iter	Passed	Remaining
924	612	12629
925	613	12627
926	613	12625
927	614	12623
928	614	12622
929	615	12623
930	616	12623
931	617	12624
932	617	12625
933	618	12620
934	618	12620
935	619	12618
936	620	12617
937	620	12614
938	621	12615
939	622	12615
940	622	12614
941	623	12612
942	624	12611
943	624	12609
944	625	12608
945	625	12604
946	626	12602
947	626	12600
948	627	12600
949	628	12600
950	629	12599
951	629	12597
952	630	12595
953	630	12593
954	631	12591
955	632	12590
956	632	12591
957	633	12590
958	633	12587
959	634	12586
960	635	12585
961	635	12584
962	636	12582
963	637	12579
964	637	12577
965	638	12576
966	638	12574
967	639	12572
968	640	12570
969	640	12569
970	641	12567
971	641	12565
972	642	12564
973	643	12562
974	643	12562
975	644	12558
976	644	12556
977	645	12555
978	646	12555
979	646	12554
980	647	12553
981	648	12551
982	648	12551
983	649	12548
984	649	12546
985	650	12546
986	651	12545
987	651	12545
988	652	12544
989	653	12543
990	653	12542
991	654	12541
992	655	12541
993	655	12540
994	656	12535
995	656	12534
996	657	12532
997	658	12532
998	658	12530
999	659	12528
1000	659	12526
1001	660	12525
1002	661	12520
1003	661	12519
1004	662	12518
1005	662	12517
1006	663	12512
1007	664	12513
1008	664	12511
1009	665	12511
1010	666	12510
1011	666	12509
1012	667	12508
1013	667	12505
1014	668	12504
1015	669	12502
1016	669	12501
1017	670	12498
1018	670	12497
1019	671	12497
1020	673	12516
1021	675	12548
1022	678	12579
1023	679	12597
1024	681	12614
1025	682	12621
1026	683	12632
1027	685	12643
1028	686	12655
1029	687	12660
1030	688	12671
1031	690	12685
1032	691	12700
1033	692	12711
1034	693	12716
1035	695	12723
1036	696	12731
1037	697	12740
1038	698	12744
1039	699	12747
1040	699	12747
1041	700	12747
1042	701	12747
1043	702	12748
1044	702	12749
1045	703	12747
1046	704	12750
1047	705	12749
1048	705	12748
1049	706	12746
1050	706	12744
1051	707	12743
1052	708	12740
1053	708	12736
1054	709	12734
1055	709	12733
1056	710	12731
1057	710	12727
1058	711	12725
1059	712	12724
1060	712	12723
1061	713	12720
1062	713	12718
1063	714	12718
1064	715	12718
1065	716	12717
1066	716	12716
1067	717	12714
1068	717	12711
1069	718	12708
1070	718	12705
1071	719	12702
1072	719	12699
1073	720	12694
1074	720	12692
1075	721	12689
1076	721	12685
1077	722	12682
1078	723	12680
1079	723	12675
1080	724	12673
1081	724	12671
1082	725	12668
1083	725	12665
1084	726	12661
1085	726	12659
1086	727	12657
1087	728	12656
1088	728	12654
1089	729	12651
1090	729	12651
1091	730	12650
1092	731	12649
1093	731	12647
1094	732	12643
1095	732	12641
1096	733	12637
1097	733	12631
1098	734	12629
1099	734	12625
1100	735	12623
1101	735	12619
1102	736	12617
1103	737	12616
1104	737	12614
1105	738	12612
1106	738	12611
1107	739	12610
1108	740	12609
1109	740	12608
1110	741	12608
1111	742	12607
1112	742	12605
1113	743	12605
1114	744	12604
1115	744	12603
1116	745	12599
1117	745	12594
1118	746	12590
1119	746	12588
1120	747	12587
1121	748	12586
1122	748	12586
1123	749	12586
1124	749	12582
1125	750	12582
1126	751	12578
1127	751	12576
1128	752	12573
1129	752	12571
1130	753	12569
1131	753	12567
1132	754	12565
1133	755	12564
1134	755	12562
1135	756	12561
1136	757	12560
1137	757	12558
1138	758	12558
1139	759	12558
1140	759	12555
1141	760	12553
1142	760	12551
1143	761	12549
1144	762	12549
1145	762	12548
1146	763	12547
1147	763	12545
1148	764	12544
1149	765	12540
1150	765	12539
1151	766	12539
1152	766	12536
1153	767	12535
1154	768	12534
1155	768	12535
1156	769	12531
1157	770	12531
1158	770	12529
1159	771	12524
1160	771	12521
1161	772	12518
1162	772	12516
1163	773	12514
1164	773	12512
1165	774	12510
1166	775	12508
1167	775	12506
1168	776	12502
1169	776	12498
1170	777	12493
1171	777	12489
1172	778	12488
1173	778	12486
1174	779	12482
1175	779	12478
1176	780	12476
1177	780	12474
1178	781	12472
1179	781	12470
1180	782	12469
1181	783	12467
1182	783	12465
1183	784	12463
1184	784	12462
1185	785	12460
1186	786	12459
1187	786	12457
1188	787	12455
1189	787	12453
1190	788	12452
1191	789	12450
1192	789	12448
1193	790	12446
1194	790	12444
1195	791	12442
1196	792	12441
1197	792	12439
1198	793	12437
1199	793	12435
1200	794	12431
1201	794	12427
1202	795	12423
1203	795	12421
1204	796	12420
1205	796	12419
1206	797	12418
1207	798	12414
1208	798	12414
1209	799	12413
1210	799	12409
1211	800	12409
1212	801	12408
1213	801	12406
1214	802	12403
1215	802	12402
1216	803	12401
1217	804	12400
1218	804	12400
1219	805	12399
1220	806	12398
1221	806	12394
1222	807	12394
1223	807	12393
1224	808	12394
1225	809	12394
1226	810	12396
1227	811	12397
1228	811	12399
1229	812	12398
1230	813	12396
1231	813	12395
1232	814	12393
1233	815	12394
1234	815	12394
1235	816	12394
1236	817	12395
1237	817	12395
1238	818	12393
1239	818	12389
1240	819	12390
1241	820	12388
1242	820	12388
1243	821	12388
1244	822	12385
1245	822	12387
1246	823	12387
1247	824	12385
1248	824	12385
1249	825	12385
1250	826	12386
1251	827	12388
1252	828	12389
1253	828	12388
1254	829	12387
1255	829	12384
1256	830	12382
1257	831	12380
1258	831	12379
1259	832	12377
1260	832	12375
1261	833	12373
1262	833	12369
1263	834	12367
1264	834	12366
1265	835	12362
1266	835	12359
1267	836	12358
1268	837	12356
1269	837	12354
1270	838	12351
1271	838	12350
1272	839	12346
1273	839	12345
1274	840	12344
1275	841	12342
1276	841	12342
1277	842	12340
1278	842	12338
1279	843	12337
1280	844	12336
1281	844	12334
1282	845	12332
1283	846	12332
1284	846	12331
1285	847	12330
1286	847	12329
1287	848	12328
1288	849	12327
1289	849	12326
1290	850	12325
1291	851	12325
1292	851	12325
1293	852	12325
1294	853	12324
1295	853	12324
1296	854	12323
1297	855	12322
1298	855	12321
1299	856	12321
1300	857	12320
1301	857	12319
1302	858	12319
1303	859	12318
1304	859	12315
1305	860	12314
1306	861	12314
1307	861	12314
1308	862	12310
1309	862	12307
1310	863	12305
1311	863	12304
1312	864	12301
1313	864	12300
1314	865	12297
1315	866	12295
1316	866	12293
1317	867	12292
1318	867	12291
1319	868	12292
1320	869	12293
1321	870	12291
1322	870	12291
1323	871	12291
1324	871	12289
1325	872	12289
1326	873	12289
1327	874	12289
1328	874	12289
1329	875	12288
1330	875	12286
1331	876	12285
1332	877	12284
1333	877	12282
1334	878	12281
1335	879	12279
1336	879	12279
1337	880	12278
1338	881	12278
1339	881	12278
1340	882	12277
1341	882	12275
1342	883	12275
1343	884	12275
1344	884	12274
1345	885	12272
1346	886	12270
1347	886	12270
1348	887	12275
1349	888	12275
1350	889	12274
1351	889	12274
1352	890	12272
1353	891	12272
1354	891	12270
1355	892	12269
1356	893	12268
1357	893	12267
1358	894	12267
1359	894	12266
1360	895	12265
1361	896	12264
1362	896	12263
1363	897	12263
1364	898	12262
1365	898	12262
1366	899	12262
1367	900	12261
1368	900	12260
1369	901	12260
1370	902	12259
1371	902	12258
1372	903	12256
1373	904	12256
1374	904	12256
1375	905	12255
1376	906	12254
1377	906	12253
1378	907	12253
1379	908	12251
1380	908	12250
1381	909	12250
1382	909	12249
1383	910	12249
1384	911	12248
1385	912	12248
1386	912	12248
1387	913	12247
1388	914	12247
1389	914	12246
1390	915	12245
1391	915	12244
1392	916	12243
1393	917	12241
1394	917	12240
1395	918	12238
1396	919	12237
1397	919	12237
1398	920	12235
1399	920	12233
1400	921	12231
1401	921	12230
1402	922	12227
1403	922	12225
1404	923	12221
1405	923	12218
1406	924	12214
1407	924	12211
1408	925	12208
1409	925	12206
1410	926	12203
1411	926	12200
1412	927	12196
1413	927	12193
1414	928	12189
1415	928	12187
1416	929	12184
1417	929	12180
1418	930	12177
1419	930	12175
1420	931	12173
1421	931	12169
1422	931	12166
1423	932	12164
1424	932	12161
1425	933	12157
1426	933	12155
1427	934	12154
1428	935	12151
1429	935	12149
1430	936	12146
1431	936	12143
1432	936	12139
1433	937	12136
1434	937	12134
1435	938	12131
1436	939	12131
1437	939	12128
1438	940	12126
1439	940	12125
1440	941	12126
1441	942	12124
1442	942	12123
1443	943	12123
1444	944	12122
1445	944	12121
1446	945	12121
1447	946	12120
1448	946	12120
1449	947	12120
1450	948	12121
1451	948	12120
1452	949	12119
1453	950	12118
1454	950	12117
1455	951	12116
1456	951	12114
1457	952	12114
1458	953	12113
1459	953	12113
1460	954	12112
1461	955	12110
1462	955	12109
1463	956	12108
1464	957	12107
1465	957	12106
1466	958	12103
1467	958	12101
1468	959	12101
1469	959	12099
1470	960	12099
1471	961	12098
1472	961	12097
1473	962	12096
1474	963	12097
1475	963	12097
1476	964	12097
1477	965	12097
1478	965	12096
1479	966	12095
1480	967	12094
1481	967	12093
1482	968	12093
1483	969	12094
1484	970	12094
1485	970	12092
1486	971	12093
1487	972	12093
1488	972	12093
1489	973	12093
1490	974	12093
1491	974	12092
1492	975	12090
1493	975	12088
1494	976	12089
1495	977	12089
1496	978	12089
1497	978	12088
1498	979	12088
1499	980	12088
1500	980	12087
1501	981	12087
1502	982	12086
1503	982	12083
1504	983	12082
1505	983	12082
1506	984	12082
1507	985	12081
1508	985	12079
1509	986	12078
1510	986	12076
1511	987	12073
1512	987	12070
1513	988	12068
1514	988	12064
1515	989	12061
1516	989	12060
1517	990	12059
1518	991	12057
1519	991	12055
1520	992	12053
1521	992	12052
1522	993	12051
1523	994	12051
1524	994	12053
1525	995	12054
1526	996	12053
1527	996	12051
1528	997	12049
1529	997	12047
1530	998	12044
1531	999	12043
1532	999	12041
1533	1000	12039
1534	1000	12036
1535	1001	12034
1536	1001	12031
1537	1002	12028
1538	1002	12026
1539	1003	12024
1540	1003	12021
